name,price,mileage,engine_cc,kilometer_run,types,age
urgent sell  personal bike contact: 9705413810,299000,45.0,155.0,32000.0,1.0,3.0
on sell,100000,35.0,220.0,47880.0,1.0,11.0
Honda dio sale in Kathmandu Nepal,170000,40.0,125.0,43000.0,0.0,7.0
Pulsar 220,115000,35.0,220.0,38304.0,1.0,9.0
R15v3 Bs6 On Sale And Exchange,315000,50.0,155.0,25000.0,1.0,4.0
Honda Aviator 67 Lots Sale/Xchange,87900,40.0,110.0,67000.0,0.0,10.0
Bajaj Pulsar N150 2024,320000,45.0,150.0,6500.0,1.0,1.0
FZ V2 80 LOT SUPER FRESH  9813296721,135000,45.0,150.0,38304.0,1.0,9.0
HERO GLAMOUR 108 LOT BIKE   9813296721,88000,45.0,125.0,28728.0,1.0,7.0
DUKE 200 BS4 89 LOT SUPER FRESH   9813296721,255000,35.0,200.0,33516.0,1.0,8.0
AVIATOR 93 LOT SUPER FRESH   9813296721,125000,40.0,110.0,33516.0,0.0,8.0
JUPITER 94 LOT SCOOTER  9813296721,85000,45.0,125.0,28728.0,0.0,7.0
JAWA 300cc 118 LOT BIKE   9813296721,285000,30.0,300.0,19152.0,1.0,5.0
PULSAR 150 65 LOT BIKE   9813296721,95000,45.0,150.0,43092.0,1.0,10.0
APACHE RTR 160 4V ABS 132 LOT   9813296721,185000,40.0,160.0,14364.0,1.0,4.0
DISCOVER 125ST 64 LOT BIKE   9813296721,74000,45.0,125.0,47880.0,1.0,11.0
FZ V1 51 LOT BIKE   9813296721,85000,45.0,150.0,57456.0,1.0,13.0
CLASSIC 350 011 LOT FRESH BIKE ✅ 9813296721,455000,33.5,350.0,23940.0,1.0,6.0
APRILLIA SR 150CC 117 LOT ✅ 9813296721,145000,45.0,150.0,19152.0,0.0,5.0
R15 M 142 LOT SUPER FRESH CONDITION ✅ 9813296721,395000,45.0,155.0,9576.0,1.0,3.0
Dominar 250 FI ABS 2021 model 125 lot ON SALE,319000,30.0,250.0,14000.0,1.0,4.0
Hunter On Sell,410000,36.0,350.0,6000.0,1.0,1.0
125 Honda CB Shine 2018 model 95 lot sell Exchange,129000,50.0,125.0,29000.0,1.0,7.0
125 Hero Destini Single Hand 2020 model 017 lot ,99000,40.0,125.0,18000.0,0.0,5.0
"Honda Shine 109 Lot
2019 Model
9841605313",145000,50.0,125.0,22000.0,1.0,6.0
Pulsar 150 sigal disc 83-lat 9803656430,119000,45.0,150.0,38304.0,1.0,9.0
"Ntorq 132 Lot
2021 Last Model
9841605313",190000,45.0,125.0,14364.0,0.0,4.0
Suzuki Burgman 125cc 109 lot 9803656430,128000,40.0,125.0,23940.0,0.0,6.0
220 pulsar Abs like new 124 lot 9803656430,219000,35.0,220.0,28000.0,1.0,4.0
2023 MT15 on sale,360000,45.0,155.0,25000.0,1.0,2.0
Scooter on sell,160000,55.0,125.0,35000.0,0.0,5.0
TVS Ntorg Drum 125 153lot Blue,190000,45.0,125.0,9000.0,0.0,1.0
Tvs,175000,45.0,160.0,18000.0,1.0,5.0
Aprila 150cc 124 lod ,160,20.0,150.0,14364.0,0.0,4.0
Ray zr 125,195,65.0,125.0,15000.0,0.0,3.0
