name,price,mileage,engine_cc,fuel,kilometer_run,types,is_automatic,is_4WD,age
Prado dual ac 2008 model on sale 9860797831,6200000.0,10.0,3000.0,2,96000.0,1.0,0,1,17.0
Baleno delta 2016 model on sale!,1950000.0,15.0,1200.0,1,63000.0,2.0,0,0,9.0
Banker’s Driven Baleno Delta 2019,2250000.0,15.0,1199.0,1,42000.0,2.0,0,0,6.0
syantro urgent sell,575000.0,15.0,1000.0,1,77000.0,2.0,0,0,24.0
Hyundai sentro 2019 model Magna full apshan on sal,1950000.0,15.0,1086.0,1,39600.0,2.0,0,0,6.0
Ford Figo Aspire 2018,1750000.0,15.0,1194.0,1,28728.0,2.0,0,0,7.0
Hyundai Grand i10 Magna  2018,2250000.0,15.0,1197.0,1,28728.0,2.0,0,0,7.0
KIA SELTOS HTX DSL 2020,4600000.0,18.0,1500.0,2,35000.0,1.0,0,0,5.0
KIA SELTOS HTX 2020,4600000.0,18.0,1500.0,2,35000.0,1.0,0,0,5.0
EON ERA+2014 model Car blue color-9851159949,1100000.0,15.0,800.0,1,47880.0,6.0,0,1,11.0
TATA BUS 712/42 Ex,2200000.0,10.0,3783.0,2,1.0,6.0,0,0,9.0
grand vitara 1992 model best for offroad,765000.0,16.0,1600.0,1,121227.75,1.0,0,1,33.0
"FORD KUGA SUV 2600CC 

AMERICAN OFF ROAD JEEP 

गा",2790000.0,15.0,2400.0,2,57456.0,1.0,0,1,13.0
I20 Elite Asta 2016,2295000.0,12.0,1200.0,1,59000.0,2.0,0,0,9.0
"Landrover freelander 1 
2006 model ko Gadi 
100% s",2580000.0,15.0,2200.0,2,86184.0,1.0,0,1,19.0
Toyota Fortuner 2012,6650000.0,12.0,3000.0,2,106000.0,1.0,0,1,13.0
2012 Fresh Nano AC/Heater  Power Window ,345000.0,18.0,600.0,1,52000.0,2.0,0,0,13.0
Honda Amaze 2014 - Petrol - Silver,1450000.0,14.0,1200.0,1,69000.0,3.0,1,0,11.0
good condition car Toyota etios vx,1500000.0,14.0,1300.0,1,56000.0,3.0,0,0,12.0
Brand New Tata Tiago Top Variant 2024,2450000.0,18.0,1188.4925,3,7000.0,2.0,1,0,1.0
Ford Freestyle (White ),1800000.0,16.0,1194.0,1,90000.0,6.0,0,0,6.0
👉 “Urgent Sale – Hyundai Santro | Excellent Condition | Ready to Drive”,1119000.0,14.0,1086.0,1,67000.0,6.0,1,0,16.0
Hyundai santro 2007 sell and exchange,950000.0,14.0,1100.0,1,79000.0,2.0,0,0,18.0
Hyundai santro 2006 sell and exchange,850000.0,14.0,1100.0,1,78000.0,2.0,0,0,19.0
toyota hilux,1200000.0,12.0,2800.0,2,121227.75,4.0,0,1,30.0
Full option Swift car for rent ,4000.0,15.0,1200.0,1,25000.0,3.0,0,0,9.0
Mahindra Supro cargo van,900000.0,18.0,1000.0,2,42000.0,5.0,0,0,6.0
"hyundai creta sx 2022 model 
call no 9861317091",5800000.0,15.0,1197.0,1,32000.0,1.0,0,0,3.0
SINGLE HANDED TATA NEXON XZ+LUX FOR SALE,2950000.0,18.0,100.0,3,22000.0,1.0,1,0,2.0
Mahindra Thar 2017 Model ( Single Handed ),2950000.0,12.0,2500.0,2,46000.0,1.0,0,1,8.0
Hyundai I20 Active’s,2495000.0,14.0,1200.0,1,180000.0,6.0,1,0,9.0
Hyundai Santro Magna AMT 2019 Model,2200000.0,15.0,1086.0,1,42157.0,2.0,1,0,6.0
Nissan Navara VL 2018 Single Hand,5950000.0,12.0,2488.0,2,37000.0,4.0,1,1,7.0
Hyundai Creta Sx 2019 Model,4175000.0,14.0,1591.0,1,55853.0,1.0,0,0,6.0
Hyundai Grand i10 Nios Magna,2775000.0,15.0,1200.0,1,30000.0,2.0,0,0,4.0
2022 Kona EV on Sale,4400000.0,18.0,945.75,3,20000.0,1.0,1,0,3.0
Kona EV 2022 Model,4550000.0,18.0,100.0,3,20800.0,1.0,1,0,3.0
brezza zxi+ petrol,3600000.0,14.0,1500.0,1,45000.0,1.0,0,0,5.0
Peugeot 3008 Allure 2.0 HDi Diesel 2018 – Sunroof,7200000.0,15.0,1997.0,2,53000.0,1.0,1,0,7.0
2012 Model omni van sale,450.0,16.0,800.0,1,85000.0,5.0,0,0,13.0
venue 1.2 s,3375000.0,15.0,1200.0,1,42000.0,1.0,0,0,4.0
Suzuki WagonR Vxi 2012,1250000.0,15.0,1000.0,1,74000.0,2.0,0,0,13.0
Creta Sxplus 2016 Petrol 1.6 Like New,3275000.0,18.0,1600.0,1,70000.0,1.0,0,0,9.0
Suzuki Swift 2015 ZXI Full option with Push Bottom,1925000.0,14.0,1199.0,1,54400.0,2.0,0,0,10.0
Volkswagen Cross Polo 1.6 2016 Highline,1875000.0,14.0,1598.0,1,44000.0,2.0,0,0,9.0
Ford Freestyle Titanium 2021 Single Hand,2090000.0,15.0,1191.0,1,44000.0,2.0,0,0,4.0
Honda Brio Car Silver Color-2013 Model,1250000.0,13.0,1200.0,1,58560.0,6.0,0,0,12.0
EcoSport 2014 trend,1675000.0,13.0,1500.0,1,57000.0,1.0,0,0,11.0
2018 Tiago Nrg singlehand sale exng 50%bank loan. ,1850000.0,15.0,1200.0,1,46000.0,2.0,0,0,7.0
2021 kwid climber singlehand low run doctor use,1850000.0,15.0,1000.0,1,17500.0,2.0,0,0,4.0
Ecosport,1725000.0,14.0,1500.0,1,47880.0,1.0,0,0,11.0
Hyundai Grand I10 Asta 2014 Excellent condition ,1975000.0,15.0,1197.0,1,48000.0,2.0,0,0,11.0
Maruti Suzuki Alto 800 LXI 2016 For Sale,1350000.0,16.0,800.0,1,54000.0,2.0,0,0,9.0
car,1400000.0,13.0,1100.0,1,65000.0,1.0,1,1,27.0
tata nexon xz+ 2018 single hand,2800000.0,18.0,1496.0,2,62000.0,2.0,0,0,7.0
for deepal rims and tyre with fresh condition,123.0,18.0,2800.0,3,50000.0,6.0,0,0,0.0
Ford Freestyle titanium 2021 only run 19K km ,2350000.0,15.0,1200.0,1,19000.0,2.0,0,0,4.0
Car-Hyundai Santro Gl Plus,1550000.0,15.0,1100.0,1,52668.0,2.0,0,0,12.0
Kia Seltos HTK,4190000.0,14.0,1500.0,1,36000.0,1.0,0,0,3.0
Eeco Van,1250000.0,12.0,1200.0,1,84000.0,5.0,1,1,12.0
Full Option 2024 BMW iX3 Electric,21200000.0,14.0,5092.5,3,14000.0,1.0,1,0,1.0
Single Owner Full Option 2015 Etios Cross V,1950000.0,14.0,1500.0,1,70000.0,2.0,0,0,10.0
Single Owner 2018 Hyundai i20 Active Base,2675000.0,15.0,1200.0,1,47000.0,2.0,0,0,7.0
Full Option 2021 Kia Seltos HTX (w/Full History),4775000.0,14.0,1500.0,1,24000.0,1.0,0,0,4.0
santro single hand,1350000.0,16.0,1100.0,1,98000.0,2.0,0,0,13.0
2020 Hyundai Santro Era (w/Full Service History),2055000.0,15.0,1100.0,1,48000.0,2.0,0,0,5.0
Brezza ZDI+ 2018 on sale,2850000.0,18.0,1248.0,2,64000.0,1.0,0,0,7.0
Tata Nexon XZ+ Diesel 2018  running 38000km  28 L,2800000.0,18.0,1496.0,2,38000.0,1.0,0,0,7.0
"FORD KUGA SUV 2600CC 

AMERICAN OFF ROAD JEEP 

गा",2050000.0,18.0,1800.0,1,57456.0,1.0,0,1,13.0
Ford Kuga suv 2600cc,28.0,14.0,6000.0,1,57456.0,1.0,1,0,13.0
Eeco Cargo 2020 For Sale And Exchange,1150000.0,16.0,1200.0,1,40100.0,5.0,0,0,5.0
Honda City,1625000.0,14.0,1500.0,1,52668.0,3.0,0,0,12.0
Kwid 2017,1150000.0,17.0,800.0,1,42000.0,2.0,0,0,8.0
Indica Petrol 2015,849000.0,18.0,1200.0,1,52000.0,2.0,0,0,10.0
Hyundai Creta Ex “Single Hand” 2020,4050000.0,14.0,1497.0,1,19152.0,1.0,0,0,5.0
